Season,LactationStage,Parity,MilkYield,pH,EC,SCC,Stage
Winter,,,,8.0,4.367,0.491,Healthy
Winter,,,,7.435,3.814,0.439,Healthy
Winter,,,,8.0,3.771,0.427,Healthy
Winter,,,,6.737,4.837,0.366,Healthy
Winter,,,,5.5,4.08,0.485,Healthy
Winter,,,,6.726,4.567,0.426,Healthy
Winter,,,,6.703,4.527,0.404,Healthy
Winter,,,,8.0,5.257,0.555,Healthy
Winter,,,,7.237,3.912,0.613,Healthy
Winter,,,,7.87,4.196,0.764,Healthy
Winter,,,,6.93,4.92,1.222,Healthy
Winter,,,,6.101,3.706,0.082,Healthy
Winter,,,,5.5,3.904,0.454,Healthy
Winter,,,,6.759,4.871,0.706,Healthy
Winter,,,,8.0,4.648,1.379,Healthy
Winter,,,,7.198,3.972,0.143,Healthy
Winter,,,,7.018,4.306,0.716,Healthy
Winter,,,,7.006,4.395,0.333,Healthy
Winter,,,,5.5,3.413,0.414,Healthy
Winter,,,,6.68,3.578,0.333,Healthy
Winter,,,,6.895,3.865,0.424,Healthy
Winter,,,,6.483,3.582,0.379,Healthy
Winter,,,,7.117,5.136,1.073,Healthy
Winter,,,,5.5,3.164,0.248,Healthy
Winter,,,,7.057,4.77,1.691,Healthy
Winter,,,,7.129,5.172,1.058,Healthy
Winter,,,,7.231,4.314,0.734,Healthy
Winter,,,,5.5,3.822,0.211,Healthy
Winter,,,,6.513,5.708,0.474,Healthy
Winter,,,,7.275,3.532,0.161,Healthy
Winter,,,,7.782,4.712,0.39,Healthy
Winter,,,,5.509,4.405,0.335,Healthy
Winter,,,,6.683,4.37,0.369,Healthy
Winter,,,,8.0,5.46,0.408,Healthy
Winter,,,,6.645,3.925,0.622,Healthy
Winter,,,,5.5,3.89,0.493,Healthy
Winter,,,,7.501,3.853,0.305,Healthy
Winter,,,,5.812,3.68,0.767,Healthy
Winter,,,,6.92,3.641,0.555,Healthy
Winter,,,,8.0,5.696,0.616,Healthy
Winter,,,,5.8,4.852,0.49,Healthy
Winter,,,,6.969,4.902,0.473,Healthy
Winter,,,,6.335,2.253,0.0,Healthy
Winter,,,,6.092,3.4,0.648,Healthy
Winter,,,,5.5,3.449,0.237,Healthy
Winter,,,,8.0,3.927,0.738,Healthy
Winter,,,,6.423,3.663,0.431,Healthy
Winter,,,,6.661,3.968,0.43,Healthy
Winter,,,,5.925,4.184,0.64,Healthy
Winter,,,,8.0,4.103,1.054,Healthy
Winter,,,,5.5,3.428,0.336,Healthy
Winter,,,,6.764,3.985,0.365,Healthy
Winter,,,,5.789,3.712,0.535,Healthy
Winter,,,,6.86,3.971,0.654,Healthy
Winter,,,,6.797,4.874,0.87,Healthy
Winter,,,,5.5,3.879,3.322,Subclinical
Winter,,,,7.629,4.973,4.086,Subclinical
Winter,,,,8.0,4.852,4.586,Subclinical
Winter,,,,6.312,4.438,4.584,Subclinical
Winter,,,,7.977,5.713,6.626,Subclinical
Winter,,,,6.674,5.232,3.775,Subclinical
Winter,,,,7.165,4.754,3.74,Subclinical
Winter,,,,7.604,4.355,5.894,Subclinical
Winter,,,,5.5,3.294,3.091,Subclinical
Winter,,,,7.922,5.552,5.524,Subclinical
Winter,,,,6.62,4.007,2.712,Subclinical
Winter,,,,5.543,5.126,3.761,Subclinical
Winter,,,,5.5,4.063,3.118,Subclinical
Winter,,,,5.727,3.804,2.598,Subclinical
Winter,,,,7.037,4.428,2.565,Subclinical
Winter,,,,7.016,3.701,0.4,Subclinical
Winter,,,,5.5,4.197,3.169,Subclinical
Winter,,,,8.0,6.055,5.221,Subclinical
Winter,,,,6.609,3.924,2.48,Subclinical
Winter,,,,6.172,4.81,2.513,Subclinical
Winter,,,,7.481,6.119,5.242,Subclinical
Winter,,,,7.291,5.418,3.945,Subclinical
Winter,,,,7.003,4.816,3.807,Subclinical
Winter,,,,5.5,4.353,3.608,Subclinical
Winter,,,,8.0,6.121,8.348,Subclinical
Winter,,,,5.5,5.004,4.028,Subclinical
Winter,,,,8.0,5.118,3.223,Subclinical
Winter,,,,5.669,2.791,0.284,Subclinical
Winter,,,,5.5,4.456,3.536,Subclinical
Winter,,,,8.0,6.316,5.059,Subclinical
Winter,,,,5.5,4.651,1.579,Subclinical
Winter,,,,8.0,6.47,5.393,Subclinical
Winter,,,,5.5,4.925,3.408,Subclinical
Winter,,,,8.0,4.066,2.065,Subclinical
Winter,,,,6.648,4.738,2.957,Subclinical
Winter,,,,7.649,4.178,2.728,Subclinical
Winter,,,,6.835,5.151,5.03,Subclinical
Winter,,,,5.5,2.993,2.847,Subclinical
Winter,,,,7.178,4.284,5.055,Subclinical
Winter,,,,6.827,5.657,4.83,Subclinical
Winter,,,,8.0,7.019,6.416,Subclinical
Winter,,,,8.0,5.654,6.653,Subclinical
Winter,,,,5.5,4.768,4.852,Subclinical
Winter,,,,5.5,2.962,0.0,Subclinical
Winter,,,,6.204,5.122,5.981,Subclinical
Winter,,,,6.76,5.982,3.333,Subclinical
Winter,,,,5.5,3.851,2.691,Subclinical
Winter,,,,6.587,3.102,1.333,Subclinical
Winter,,,,5.5,4.595,3.674,Subclinical
Winter,,,,5.5,3.862,0.907,Subclinical
Winter,,,,6.538,5.401,3.091,Subclinical
Winter,,,,7.457,4.533,2.31,Subclinical
Winter,,,,6.467,3.857,1.678,Subclinical
Winter,,,,5.5,5.637,4.585,Subclinical
Winter,,,,5.506,4.533,3.044,Subclinical
Winter,,,,6.282,5.065,4.935,Subclinical
Winter,,,,5.781,4.008,2.181,Subclinical
Winter,,,,5.5,2.45,2.112,Subclinical
Winter,,,,8.0,5.288,5.232,Subclinical
Winter,,,,7.144,7.204,8.22,Subclinical
Winter,,,,6.433,3.908,0.354,Subclinical
Winter,,,,6.97,4.217,1.037,Subclinical
Winter,,,,5.593,3.566,4.183,Subclinical
Winter,,,,8.0,5.111,6.093,Subclinical
Winter,,,,6.765,4.077,4.719,Subclinical
Winter,,,,7.513,4.161,2.632,Subclinical
Winter,,,,5.5,3.227,2.717,Subclinical
Winter,,,,8.0,4.533,4.284,Subclinical
Winter,,,,5.586,4.019,1.762,Subclinical
Winter,,,,5.5,4.328,1.814,Subclinical
Winter,,,,7.078,4.79,3.336,Subclinical
Winter,,,,5.5,3.829,3.258,Subclinical
Winter,,,,7.451,4.189,3.044,Subclinical
Winter,,,,7.857,3.778,3.136,Subclinical
Winter,,,,5.567,4.823,2.564,Subclinical
Winter,,,,5.5,2.6,0.634,Subclinical
Winter,,,,7.061,4.131,3.647,Subclinical
Winter,,,,5.5,3.863,0.612,Subclinical
Winter,,,,5.584,4.428,1.931,Subclinical
Winter,,,,6.017,5.288,3.442,Subclinical
Winter,,,,7.994,4.231,3.709,Subclinical
Winter,,,,8.0,3.491,1.096,Subclinical
Winter,,,,7.575,4.818,4.217,Subclinical
Winter,,,,5.662,4.48,2.933,Subclinical
Winter,,,,8.0,5.448,5.058,Subclinical
Winter,,,,5.973,4.132,2.148,Subclinical
Winter,,,,7.279,4.564,3.761,Subclinical
Winter,,,,8.0,6.349,5.459,Subclinical
Winter,,,,8.0,4.956,1.306,Subclinical
Winter,,,,5.5,2.791,0.459,Subclinical
Winter,,,,6.67,5.992,5.586,Subclinical
Winter,,,,6.285,5.231,1.239,Subclinical
Winter,,,,7.022,5.402,2.483,Subclinical
Winter,,,,8.0,5.501,4.131,Subclinical
Winter,,,,7.665,6.738,6.432,Subclinical
Winter,,,,7.042,4.466,2.115,Subclinical
Winter,,,,7.985,4.438,3.37,Subclinical
Winter,,,,5.866,4.841,4.055,Subclinical
Winter,,,,8.0,4.801,3.413,Subclinical
Winter,,,,5.5,3.897,2.837,Subclinical
Winter,,,,7.854,3.946,46.807,Clinical
Winter,,,,8.0,7.341,176.046,Clinical
Winter,,,,5.925,1.421,0.0,Clinical
Winter,,,,8.0,7.994,83.471,Clinical
Winter,,,,7.253,2.955,110.772,Clinical
Winter,,,,7.063,5.227,61.786,Clinical
Winter,,,,7.506,5.888,0.0,Clinical
Winter,,,,7.494,9.176,179.609,Clinical
Winter,,,,8.0,5.794,0.0,Clinical
Winter,,,,6.742,4.806,72.026,Clinical
Winter,,,,5.5,5.811,14.741,Clinical
Winter,,,,6.362,2.31,0.0,Clinical
Winter,,,,7.937,6.009,0.0,Clinical
Winter,,,,5.5,2.588,51.373,Clinical
Winter,,,,6.573,1.539,0.0,Clinical
Winter,,,,6.556,0.0,0.0,Clinical
Winter,,,,6.609,5.951,136.843,Clinical
Winter,,,,8.0,5.701,0.0,Clinical
Winter,,,,8.0,8.135,96.305,Clinical
Winter,,,,6.87,5.215,12.557,Clinical
Winter,,,,6.177,3.056,0.0,Clinical
Winter,,,,6.215,2.762,0.0,Clinical
Winter,,,,6.579,7.529,0.0,Clinical
Winter,,,,8.0,8.673,0.0,Clinical
Winter,,,,6.468,3.689,0.0,Clinical
Winter,,,,5.92,1.682,40.173,Clinical
Winter,,,,8.0,8.532,134.429,Clinical
Winter,,,,5.5,2.416,0.0,Clinical
Winter,,,,5.5,4.765,0.0,Clinical
Winter,,,,6.428,5.804,55.308,Clinical
Winter,,,,6.445,6.713,0.0,Clinical
Winter,,,,7.676,6.788,39.562,Clinical
Winter,,,,7.311,2.762,22.896,Clinical
Winter,,,,6.667,3.582,43.894,Clinical
Winter,,,,6.013,1.18,0.0,Clinical
Winter,,,,7.664,3.048,76.323,Clinical
Winter,,,,5.5,5.664,29.911,Clinical
Winter,,,,6.778,3.646,9.787,Clinical
Winter,,,,6.853,6.999,63.676,Clinical
Winter,,,,7.089,4.311,0.0,Clinical
Winter,,,,7.288,1.825,0.0,Clinical
Winter,,,,7.837,6.105,33.091,Clinical
Winter,,,,6.923,5.564,0.0,Clinical
Winter,,,,5.919,4.282,0.0,Clinical
Winter,,,,7.414,1.964,12.687,Clinical
Winter,,,,7.495,5.941,92.694,Clinical
Winter,,,,8.0,8.919,4.83,Clinical
Winter,,,,5.5,2.032,0.0,Clinical
Winter,,,,7.552,4.043,9.695,Clinical
Winter,,,,5.948,2.703,0.0,Clinical
Winter,,,,5.737,1.024,0.0,Clinical
Winter,,,,8.0,4.257,152.375,Clinical
Winter,,,,7.522,5.825,0.0,Clinical
Winter,,,,7.782,4.566,17.965,Clinical
Winter,,,,8.0,7.81,152.282,Clinical
Winter,,,,6.014,3.915,87.767,Clinical
Winter,,,,6.11,7.685,107.357,Clinical
Winter,,,,6.191,5.416,75.457,Clinical
Winter,,,,7.683,2.49,0.0,Clinical
Winter,,,,6.588,4.397,36.707,Clinical
Winter,,,,7.124,2.411,0.0,Clinical
Winter,,,,7.669,6.716,114.902,Clinical
Winter,,,,7.951,6.79,54.062,Clinical
Winter,,,,5.5,3.661,0.0,Clinical
Winter,,,,7.242,2.643,0.0,Clinical
Winter,,,,8.0,6.068,81.919,Clinical
Winter,,,,6.936,4.944,67.126,Clinical
Winter,,,,6.25,4.406,0.0,Clinical
Winter,,,,6.353,3.7,0.0,Clinical
Winter,,,,6.297,6.76,0.46,Clinical
Winter,,,,6.665,3.745,69.252,Clinical
Winter,,,,7.148,7.145,0.0,Clinical
Winter,,,,7.236,6.949,62.587,Clinical
Winter,,,,8.0,5.132,102.894,Clinical
Winter,,,,8.0,6.957,45.01,Clinical
Winter,,,,8.0,9.782,94.371,Clinical
Winter,,,,6.371,3.772,0.0,Clinical
Winter,,,,5.742,1.721,0.0,Clinical
Winter,,,,6.856,5.273,107.431,Clinical
Winter,,,,5.642,5.58,10.782,Clinical
Winter,,,,6.838,6.132,0.0,Clinical
Winter,,,,7.382,5.652,59.1,Clinical
Winter,,,,7.264,10.092,87.872,Clinical
Winter,,,,6.231,2.956,0.0,Clinical
Winter,,,,6.097,6.432,120.797,Clinical
Winter,,,,6.181,2.491,0.0,Clinical
Winter,,,,6.204,5.43,33.241,Clinical
Winter,,,,5.5,6.064,129.009,Clinical
Winter,,,,6.128,3.324,0.0,Clinical
Winter,,,,7.321,6.572,161.777,Clinical
Winter,,,,6.677,3.043,0.0,Clinical
Winter,,,,5.979,3.884,88.294,Clinical
Winter,,,,6.248,4.658,5.355,Clinical
Winter,,,,8.0,11.342,124.669,Clinical
Winter,,,,6.283,6.326,78.593,Clinical
Winter,,,,8.0,8.285,74.676,Clinical
Winter,,,,7.644,7.783,122.472,Clinical
Winter,,,,7.539,7.597,137.44,Clinical
Winter,,,,8.0,7.842,73.533,Clinical
Winter,,,,7.085,7.432,22.162,Clinical
Summer,,,,6.783,4.249,1.163,Healthy
Summer,,,,7.11,4.601,2.305,Healthy
Summer,,,,6.16,4.271,1.747,Healthy
Summer,,,,7.429,4.615,2.659,Healthy
Summer,,,,6.74,4.83,2.674,Healthy
Summer,,,,6.75,4.539,2.173,Healthy
Summer,,,,6.489,4.275,2.376,Healthy
Summer,,,,6.28,4.146,0.0,Healthy
Summer,,,,7.08,4.06,0.021,Healthy
Summer,,,,6.786,4.851,2.783,Healthy
Summer,,,,6.45,4.771,0.803,Healthy
Summer,,,,5.858,4.018,0.0,Healthy
Summer,,,,6.282,4.323,1.463,Healthy
Summer,,,,6.447,3.801,0.76,Healthy
Summer,,,,6.884,4.393,3.764,Healthy
Summer,,,,6.265,3.63,0.0,Healthy
Summer,,,,6.634,4.366,1.128,Healthy
Summer,,,,6.777,3.983,2.072,Healthy
Summer,,,,6.62,4.627,2.566,Healthy
Summer,,,,6.814,4.561,2.567,Healthy
Summer,,,,6.881,4.829,3.063,Healthy
Summer,,,,6.905,4.407,3.329,Healthy
Summer,,,,6.406,4.723,2.32,Healthy
Summer,,,,6.135,4.068,0.0,Healthy
Summer,,,,6.953,4.259,0.686,Healthy
Summer,,,,5.97,3.804,0.0,Healthy
Summer,,,,6.08,4.233,1.777,Healthy
Summer,,,,6.803,4.085,0.604,Healthy
Summer,,,,6.649,3.945,1.988,Healthy
Summer,,,,6.966,4.398,1.651,Healthy
Summer,,,,6.725,3.714,0.0,Healthy
Summer,,,,6.404,3.864,0.0,Healthy
Summer,,,,7.297,4.837,2.315,Healthy
Summer,,,,6.856,4.837,3.94,Healthy
Summer,,,,6.671,4.113,1.527,Healthy
Summer,,,,6.792,4.649,3.034,Healthy
Summer,,,,7.028,4.335,3.018,Healthy
Summer,,,,6.721,4.973,2.374,Healthy
Summer,,,,7.275,4.689,1.788,Healthy
Summer,,,,6.476,4.11,1.128,Healthy
Summer,,,,6.838,4.223,1.044,Healthy
Summer,,,,7.421,5.235,4.696,Healthy
Summer,,,,6.664,4.344,2.088,Healthy
Summer,,,,6.282,4.028,0.0,Healthy
Summer,,,,6.794,4.574,1.494,Healthy
Summer,,,,7.217,4.223,0.0,Healthy
Summer,,,,6.731,4.663,4.298,Healthy
Summer,,,,6.485,4.543,1.83,Healthy
Summer,,,,6.588,4.538,2.667,Healthy
Summer,,,,6.082,4.454,3.117,Healthy
Summer,,,,6.425,4.303,1.748,Healthy
Summer,,,,6.744,4.181,0.123,Healthy
Summer,,,,6.641,4.654,2.891,Healthy
Summer,,,,6.517,4.466,0.0,Healthy
Summer,,,,7.064,3.985,0.032,Healthy
Summer,,,,6.247,3.692,0.719,Healthy
Summer,,,,6.482,4.318,1.168,Healthy
Summer,,,,6.822,4.414,0.095,Healthy
Summer,,,,7.009,4.337,0.0,Healthy
Summer,,,,6.496,4.678,3.275,Healthy
Summer,,,,6.524,4.127,0.309,Healthy
Summer,,,,7.398,4.81,3.459,Healthy
Summer,,,,7.021,4.568,1.82,Healthy
Summer,,,,6.579,4.241,0.992,Healthy
Summer,,,,6.912,4.454,2.628,Healthy
Summer,,,,6.621,4.309,0.0,Healthy
Summer,,,,6.98,4.58,3.328,Healthy
Summer,,,,5.607,4.391,0.977,Healthy
Summer,,,,7.049,4.191,1.777,Healthy
Summer,,,,6.271,3.91,2.247,Healthy
Summer,,,,6.581,4.33,2.326,Healthy
Summer,,,,6.828,4.44,2.125,Healthy
Summer,,,,7.515,4.737,3.018,Healthy
Summer,,,,7.028,4.837,4.311,Healthy
Summer,,,,6.88,4.071,2.583,Healthy
Summer,,,,6.237,4.176,0.0,Healthy
Summer,,,,6.627,4.389,1.858,Healthy
Summer,,,,6.802,4.874,3.471,Healthy
Summer,,,,6.562,4.549,3.327,Healthy
Summer,,,,6.208,4.25,1.77,Healthy
Summer,,,,6.543,4.665,2.067,Healthy
Summer,,,,6.695,4.271,1.179,Healthy
Summer,,,,6.255,3.652,1.12,Healthy
Summer,,,,6.345,3.836,0.0,Healthy
Summer,,,,6.42,3.774,1.584,Healthy
Summer,,,,7.014,4.281,3.965,Healthy
Summer,,,,7.003,4.386,0.0,Healthy
Summer,,,,7.475,4.308,0.0,Healthy
Summer,,,,7.018,5.241,5.702,Healthy
Summer,,,,6.853,4.589,3.141,Healthy
Summer,,,,6.923,4.53,2.107,Healthy
Summer,,,,6.627,4.057,0.191,Healthy
Summer,,,,6.041,3.949,0.0,Healthy
Summer,,,,6.253,4.146,2.303,Healthy
Summer,,,,6.981,3.993,0.0,Healthy
Summer,,,,6.989,4.177,0.724,Healthy
Summer,,,,6.848,4.108,0.867,Healthy
Summer,,,,6.17,3.863,0.191,Healthy
Summer,,,,6.077,4.133,0.534,Healthy
Summer,,,,6.849,4.473,3.412,Healthy
Summer,,,,6.958,4.391,3.236,Subclinical
Summer,,,,7.485,5.519,4.375,Subclinical
Summer,,,,5.915,3.251,0.0,Subclinical
Summer,,,,8.0,4.682,2.098,Subclinical
Summer,,,,5.895,5.62,3.447,Subclinical
Summer,,,,8.0,5.08,4.592,Subclinical
Summer,,,,5.747,7.423,3.384,Subclinical
Summer,,,,7.19,6.194,5.891,Subclinical
Summer,,,,6.567,4.556,3.169,Subclinical
Summer,,,,6.615,6.266,9.888,Subclinical
Summer,,,,6.098,2.305,0.34,Subclinical
Summer,,,,8.0,6.142,9.095,Subclinical
Summer,,,,8.0,5.671,5.982,Subclinical
Summer,,,,8.0,5.891,4.481,Subclinical
Summer,,,,6.067,2.826,0.0,Subclinical
Summer,,,,5.5,3.823,0.314,Subclinical
Summer,,,,7.095,2.769,1.964,Subclinical
Summer,,,,7.85,2.667,2.086,Subclinical
Summer,,,,8.0,4.241,6.793,Subclinical
Summer,,,,7.328,4.247,2.748,Subclinical
Summer,,,,7.503,5.575,5.555,Subclinical
Summer,,,,5.64,4.318,0.0,Subclinical
Summer,,,,6.66,3.441,0.229,Subclinical
Summer,,,,8.0,7.771,8.255,Subclinical
Summer,,,,5.5,3.411,4.334,Subclinical
Summer,,,,6.979,8.615,8.441,Subclinical
Summer,,,,7.042,4.639,3.546,Subclinical
Summer,,,,6.608,5.87,6.649,Subclinical
Summer,,,,5.81,2.148,0.0,Subclinical
Summer,,,,7.44,3.722,0.0,Subclinical
Summer,,,,7.29,9.114,8.146,Subclinical
Summer,,,,7.856,5.849,4.489,Subclinical
Summer,,,,7.958,5.356,4.791,Subclinical
Summer,,,,7.205,4.212,5.032,Subclinical
Summer,,,,6.58,3.607,3.242,Subclinical
Summer,,,,5.668,4.122,2.417,Subclinical
Summer,,,,8.0,6.685,5.62,Subclinical
Summer,,,,7.83,7.832,8.112,Subclinical
Summer,,,,6.813,2.932,0.0,Subclinical
Summer,,,,6.415,3.708,1.703,Subclinical
Summer,,,,6.871,5.795,4.315,Subclinical
Summer,,,,7.413,5.489,0.0,Subclinical
Summer,,,,5.616,3.82,0.0,Subclinical
Summer,,,,7.556,7.841,9.551,Subclinical
Summer,,,,6.531,7.01,6.067,Subclinical
Summer,,,,6.375,3.672,1.398,Subclinical
Summer,,,,6.311,4.823,3.675,Subclinical
Summer,,,,6.804,5.602,6.916,Subclinical
Summer,,,,7.996,3.556,0.0,Subclinical
Summer,,,,7.977,3.722,1.916,Subclinical
Summer,,,,5.5,1.064,0.26,Subclinical
Summer,,,,7.757,4.766,0.0,Subclinical
Summer,,,,6.112,5.013,0.175,Subclinical
Summer,,,,7.031,5.08,5.022,Subclinical
Summer,,,,6.951,3.554,4.728,Subclinical
Summer,,,,6.6,4.738,1.186,Subclinical
Summer,,,,6.241,3.156,1.102,Subclinical
Summer,,,,8.0,4.45,0.0,Subclinical
Summer,,,,8.0,6.002,3.524,Subclinical
Summer,,,,8.0,4.987,7.906,Subclinical
Summer,,,,7.654,4.825,8.388,Subclinical
Summer,,,,6.037,5.493,4.664,Subclinical
Summer,,,,8.0,8.553,7.829,Subclinical
Summer,,,,5.851,4.921,1.822,Subclinical
Summer,,,,8.0,7.045,5.462,Subclinical
Summer,,,,7.033,3.043,0.0,Subclinical
Summer,,,,8.0,5.061,1.593,Subclinical
Summer,,,,7.476,7.253,7.778,Subclinical
Summer,,,,8.0,4.715,0.33,Subclinical
Summer,,,,8.0,5.857,4.309,Subclinical
Summer,,,,8.0,7.039,7.137,Subclinical
Summer,,,,8.0,5.995,7.248,Subclinical
Summer,,,,6.872,5.395,7.46,Subclinical
Summer,,,,7.44,6.235,7.455,Subclinical
Summer,,,,6.34,3.3,0.0,Subclinical
Summer,,,,5.5,6.216,2.002,Subclinical
Summer,,,,6.521,4.297,3.469,Subclinical
Summer,,,,7.828,7.02,4.674,Subclinical
Summer,,,,6.589,5.204,3.224,Subclinical
Summer,,,,8.0,7.203,8.004,Subclinical
Summer,,,,7.635,7.354,6.713,Subclinical
Summer,,,,5.5,4.314,1.097,Subclinical
Summer,,,,6.134,5.327,6.603,Subclinical
Summer,,,,6.827,5.423,7.871,Subclinical
Summer,,,,7.103,9.141,9.421,Subclinical
Summer,,,,5.5,4.416,3.413,Subclinical
Summer,,,,8.0,7.182,5.953,Subclinical
Summer,,,,5.5,3.451,0.0,Subclinical
Summer,,,,6.069,5.281,7.507,Subclinical
Summer,,,,7.297,3.473,3.02,Subclinical
Summer,,,,8.0,5.129,3.71,Subclinical
Summer,,,,6.819,3.742,3.682,Subclinical
Summer,,,,6.648,5.458,2.08,Subclinical
Summer,,,,6.249,5.622,3.338,Subclinical
Summer,,,,8.0,5.953,5.529,Subclinical
Summer,,,,7.975,3.642,0.0,Subclinical
Summer,,,,5.5,5.418,2.469,Subclinical
Summer,,,,8.0,6.488,6.211,Subclinical
Summer,,,,8.0,9.461,13.414,Subclinical
Summer,,,,8.0,7.642,8.071,Subclinical
Summer,,,,7.29,5.537,0.0,Clinical
Summer,,,,7.009,5.239,0.0,Clinical
Summer,,,,7.261,9.771,80.756,Clinical
Summer,,,,7.542,5.077,5.932,Clinical
Summer,,,,6.752,0.0,0.0,Clinical
Summer,,,,6.966,9.923,107.306,Clinical
Summer,,,,6.641,9.29,125.251,Clinical
Summer,,,,7.22,6.128,0.0,Clinical
Summer,,,,6.876,8.237,149.804,Clinical
Summer,,,,7.566,7.094,0.0,Clinical
Summer,,,,7.061,0.85,0.0,Clinical
Summer,,,,6.957,4.119,0.0,Clinical
Summer,,,,7.195,5.114,0.0,Clinical
Summer,,,,5.976,0.493,24.625,Clinical
Summer,,,,7.608,7.399,16.812,Clinical
Summer,,,,7.179,3.679,7.81,Clinical
Summer,,,,7.286,10.687,83.566,Clinical
Summer,,,,6.937,2.82,0.0,Clinical
Summer,,,,6.928,6.401,73.78,Clinical
Summer,,,,6.721,8.637,37.975,Clinical
Summer,,,,7.002,3.528,0.0,Clinical
Summer,,,,7.328,9.474,57.998,Clinical
Summer,,,,7.034,7.361,0.0,Clinical
Summer,,,,6.82,7.099,0.0,Clinical
Summer,,,,7.116,2.322,0.0,Clinical
Summer,,,,6.997,0.978,14.242,Clinical
Summer,,,,6.746,2.062,0.0,Clinical
Summer,,,,7.424,4.852,14.686,Clinical
Summer,,,,7.164,8.527,67.032,Clinical
Summer,,,,6.878,2.673,0.0,Clinical
Summer,,,,6.624,0.0,0.0,Clinical
Summer,,,,7.335,0.493,0.0,Clinical
Summer,,,,7.233,12.838,118.562,Clinical
Summer,,,,6.748,3.898,61.519,Clinical
Summer,,,,6.777,2.253,0.0,Clinical
Summer,,,,6.667,4.382,80.21,Clinical
Summer,,,,7.126,5.587,1.39,Clinical
Summer,,,,6.447,5.497,1.327,Clinical
Summer,,,,6.945,14.703,154.474,Clinical
Summer,,,,6.739,3.147,39.075,Clinical
Summer,,,,7.051,1.76,12.629,Clinical
Summer,,,,6.769,9.987,129.163,Clinical
Summer,,,,6.849,8.661,58.314,Clinical
Summer,,,,7.317,8.684,16.933,Clinical
Summer,,,,6.778,7.578,21.007,Clinical
Summer,,,,6.865,2.236,0.0,Clinical
Summer,,,,7.753,6.345,38.019,Clinical
Summer,,,,7.518,8.049,80.554,Clinical
Summer,,,,6.628,5.075,0.0,Clinical
Summer,,,,7.365,10.967,231.992,Clinical
Summer,,,,7.219,7.73,57.936,Clinical
Summer,,,,6.883,6.089,4.376,Clinical
Summer,,,,7.071,9.875,20.929,Clinical
Summer,,,,7.42,11.622,97.388,Clinical
Summer,,,,6.246,0.155,0.0,Clinical
Summer,,,,7.002,2.792,0.0,Clinical
Summer,,,,7.313,8.842,51.416,Clinical
Summer,,,,6.878,3.941,0.0,Clinical
Summer,,,,7.592,7.708,117.791,Clinical
Summer,,,,7.558,11.38,79.451,Clinical
Summer,,,,7.155,6.396,0.0,Clinical
Summer,,,,7.127,2.894,43.552,Clinical
Summer,,,,6.843,5.489,26.444,Clinical
Summer,,,,6.917,6.981,7.476,Clinical
Summer,,,,7.324,3.392,0.0,Clinical
Summer,,,,7.708,6.318,0.0,Clinical
Summer,,,,7.195,7.187,58.497,Clinical
Summer,,,,7.186,8.466,116.285,Clinical
Summer,,,,7.158,5.775,55.849,Clinical
Summer,,,,7.694,8.772,16.981,Clinical
Summer,,,,7.409,7.381,0.0,Clinical
Summer,,,,7.315,5.707,16.606,Clinical
