Season,LactationStage,Parity,MilkYield,pH,EC,SCC,Stage
Summer,,,,6.724,4.846,3.565,Subclinical
Summer,,,,6.81,5.135,3.793,Subclinical
Summer,,,,6.813,4.914,3.521,Subclinical
Summer,,,,6.789,4.982,3.694,Subclinical
Summer,,,,6.745,4.775,3.114,Subclinical
Summer,,,,6.836,4.863,3.186,Subclinical
Summer,,,,6.827,5.162,3.777,Subclinical
Summer,,,,6.859,4.981,3.574,Subclinical
Summer,,,,6.864,4.954,3.591,Subclinical
Summer,,,,6.823,4.89,3.604,Subclinical
Summer,,,,6.788,4.857,3.505,Subclinical
Summer,,,,6.737,4.885,3.459,Subclinical
Summer,,,,6.876,5.027,3.637,Subclinical
Summer,,,,6.857,5.091,3.775,Subclinical
Summer,,,,6.801,4.819,3.267,Subclinical
Summer,,,,6.779,4.862,3.419,Subclinical
Summer,,,,6.804,4.978,3.564,Subclinical
Summer,,,,6.834,4.961,3.314,Subclinical
Summer,,,,6.734,4.868,3.291,Subclinical
Summer,,,,6.842,5.092,3.855,Subclinical
Summer,,,,6.785,5.046,3.661,Subclinical
Summer,,,,6.776,4.86,3.402,Subclinical
Summer,,,,6.773,4.924,3.529,Subclinical
Summer,,,,6.8,4.967,3.709,Subclinical
Summer,,,,6.866,4.854,3.131,Subclinical
Summer,,,,6.865,4.863,3.431,Subclinical
Summer,,,,6.718,4.715,3.339,Subclinical
Summer,,,,6.853,4.921,3.198,Subclinical
Summer,,,,6.762,4.935,3.334,Subclinical
Summer,,,,6.813,4.938,3.603,Subclinical
Summer,,,,6.808,4.854,3.587,Subclinical
Summer,,,,6.789,4.919,3.39,Subclinical
Summer,,,,6.769,4.831,3.386,Subclinical
Summer,,,,6.92,4.903,3.312,Subclinical
Summer,,,,6.903,4.99,3.52,Subclinical
Summer,,,,6.873,4.933,3.764,Subclinical
Summer,,,,6.847,4.924,3.79,Subclinical
Summer,,,,6.758,4.961,3.584,Subclinical
Summer,,,,6.891,5.131,3.759,Subclinical
Summer,,,,6.747,4.929,3.426,Subclinical
Summer,,,,6.941,5.048,3.628,Subclinical
Summer,,,,6.813,4.825,3.287,Subclinical
Summer,,,,6.884,4.937,3.413,Subclinical
Summer,,,,6.838,5.059,3.757,Subclinical
Summer,,,,6.87,4.918,3.343,Subclinical
Summer,,,,6.905,4.982,3.564,Subclinical
Summer,,,,6.893,5.047,3.721,Subclinical
Summer,,,,6.952,4.989,3.727,Subclinical
Summer,,,,6.804,4.956,3.739,Subclinical
Summer,,,,6.836,5.002,3.739,Subclinical
Summer,,,,6.774,4.839,3.287,Subclinical
Summer,,,,6.662,5.001,3.436,Subclinical
Summer,,,,6.785,4.895,3.517,Subclinical
Summer,,,,6.857,5.046,3.584,Subclinical
Summer,,,,6.788,4.945,3.504,Subclinical
Summer,,,,6.913,5.056,3.769,Subclinical
Summer,,,,6.846,5.065,3.697,Subclinical
Summer,,,,6.709,4.896,3.385,Subclinical
Summer,,,,6.763,4.952,3.691,Subclinical
Summer,,,,6.801,4.957,3.762,Subclinical
Summer,,,,6.817,5.164,3.848,Subclinical
Summer,,,,6.677,4.901,3.514,Subclinical
Summer,,,,6.89,5.055,3.655,Subclinical
Summer,,,,6.714,4.848,3.309,Subclinical
Summer,,,,6.759,4.95,3.742,Subclinical
Summer,,,,6.828,4.849,3.492,Subclinical
Summer,,,,6.884,4.941,3.531,Subclinical
Summer,,,,6.801,4.864,3.529,Subclinical
Summer,,,,6.792,4.959,3.44,Subclinical
Summer,,,,6.769,4.968,3.51,Subclinical
Summer,,,,6.921,4.987,3.632,Subclinical
Summer,,,,6.865,4.858,3.235,Subclinical
Summer,,,,6.693,4.957,3.462,Subclinical
Summer,,,,6.979,5.017,3.669,Subclinical
Summer,,,,6.908,5.182,4.07,Subclinical
Summer,,,,6.885,5.081,3.773,Subclinical
Summer,,,,7.026,5.729,14.937,Clinical
Summer,,,,7.01,5.712,15.557,Clinical
Summer,,,,7.024,5.964,20.806,Clinical
Summer,,,,7.04,5.703,16.65,Clinical
Summer,,,,6.996,5.367,11.728,Clinical
Summer,,,,7.008,5.972,22.281,Clinical
Summer,,,,6.99,5.937,23.278,Clinical
Summer,,,,7.022,5.762,14.908,Clinical
Summer,,,,7.003,5.879,24.642,Clinical
Summer,,,,7.041,5.815,15.455,Clinical
Summer,,,,7.013,5.468,14.574,Clinical
Summer,,,,7.007,5.65,11.283,Clinical
Summer,,,,7.02,5.705,13.495,Clinical
Summer,,,,6.953,5.448,17.688,Clinical
Summer,,,,7.043,5.832,17.254,Clinical
Summer,,,,7.019,5.626,16.754,Clinical
Summer,,,,7.025,6.015,20.963,Clinical
Summer,,,,7.006,5.578,12.557,Clinical
Summer,,,,7.005,5.777,20.419,Clinical
Summer,,,,6.994,5.901,18.43,Clinical
Summer,,,,7.01,5.617,8.417,Clinical
Summer,,,,7.028,5.947,19.542,Clinical
Summer,,,,7.011,5.83,13.9,Clinical
Summer,,,,6.999,5.815,14.434,Clinical
Summer,,,,7.016,5.55,16.161,Clinical
Summer,,,,7.009,5.475,17.111,Clinical
Summer,,,,6.995,5.536,14.866,Clinical
Summer,,,,7.033,5.691,17.136,Clinical
Summer,,,,7.019,5.895,20.044,Clinical
Summer,,,,7.003,5.57,15.1,Clinical
Summer,,,,6.989,5.161,10.35,Clinical
Summer,,,,7.028,5.449,10.586,Clinical
Summer,,,,7.022,6.134,22.907,Clinical
Summer,,,,6.995,5.638,19.738,Clinical
Summer,,,,6.997,5.546,13.013,Clinical
Summer,,,,6.991,5.665,20.776,Clinical
Summer,,,,7.016,5.732,16.397,Clinical
Summer,,,,6.979,5.726,16.394,Clinical
Summer,,,,7.006,6.238,24.902,Clinical
Summer,,,,6.995,5.596,18.491,Clinical
Summer,,,,7.012,5.519,17.022,Clinical
Summer,,,,6.997,5.976,23.496,Clinical
Summer,,,,7.001,5.902,19.56,Clinical
Summer,,,,7.027,5.904,17.261,Clinical
Summer,,,,6.997,5.842,17.487,Clinical
Summer,,,,7.002,5.545,15.758,Clinical
Summer,,,,7.051,5.774,18.432,Clinical
Summer,,,,7.038,5.868,20.795,Clinical
Summer,,,,6.989,5.703,15.901,Clinical
Summer,,,,7.03,6.03,29.208,Clinical
Summer,,,,7.022,5.851,19.539,Clinical
Summer,,,,7.003,5.759,16.563,Clinical
Summer,,,,7.013,5.97,17.483,Clinical
Summer,,,,7.033,6.067,21.73,Clinical
Summer,,,,6.968,5.43,16.25,Clinical
Summer,,,,7.01,5.576,13.544,Clinical
Summer,,,,7.027,5.912,19.176,Clinical
Summer,,,,7.003,5.64,13.074,Clinical
Summer,,,,7.042,5.849,22.864,Clinical
Summer,,,,7.04,6.053,20.734,Clinical
Summer,,,,7.018,5.776,15.222,Clinical
Summer,,,,7.016,5.582,18.74,Clinical
Summer,,,,7.001,5.726,17.789,Clinical
Summer,,,,7.005,5.809,16.735,Clinical
Summer,,,,7.027,5.61,16.138,Clinical
Summer,,,,7.049,5.772,16.295,Clinical
Summer,,,,7.02,5.82,19.57,Clinical
Summer,,,,7.02,5.891,22.78,Clinical
Summer,,,,7.018,5.742,19.423,Clinical
Summer,,,,7.048,5.908,17.263,Clinical
Summer,,,,7.032,5.831,12.422,Clinical
Summer,,,,7.027,5.738,17.243,Clinical
